,num_interacoes,tempos,erros,tolerancia
0,589,0.0944676399230957,6.556630940148916e-08,-1
1,589,0.03251528739929199,6.556630940148916e-08,-2
2,589,0.030022382736206055,6.556630940148916e-08,-3
3,589,0.02781391143798828,6.556630940148916e-08,-4
4,589,0.02860713005065918,6.556630940148916e-08,-5
5,589,0.027730703353881836,6.556630940148916e-08,-6
6,589,0.02943587303161621,6.556630940148916e-08,-7
7,589,0.05438113212585449,6.556630940148916e-08,-8
8,589,0.03559613227844238,6.556630940148916e-08,-9
9,589,0.03000617027282715,6.556630940148916e-08,-10
